,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
3,2017-04-01,29134.3,27045.9,29134272.21961001,28827479.48661001,306792.733,29134272.21961001,10312632.366428996,7454251.799721999,9458166.681812003,1909221.3736467,29134272.21961001,20257135.09719,3253288.2368399994,8211244.092969999,1132396.2324399997,3257140.159269999,3006158.7602200005,1037213.1617099998,359694.45374,4355706.645570001,838948.24575,1535726.3448300003,2146755.88727
4,2017-05-01,27969.0,25631.9,27969004.676939998,27569311.41494,399693.262,27969004.676939998,10147613.34208,6735747.319130901,9220929.862112992,1864714.156617,27969004.676939998,18904574.403351597,2869437.4106681994,7651058.083627701,1033081.8497094004,3232635.767159099,2799142.1231426005,982651.16055459,336568.00849000004,4206101.605108699,915895.14981,1824462.036,2117971.4826696
5,2017-06-01,29132.7,26365.4,29132712.7446,28763865.4186,368847.326,29132712.7446,10565493.495652994,7337456.597347399,9196110.462846007,2033652.1887504,29132712.7446,19601615.797832,3103589.5987800006,7911936.244780002,1083494.19323,3322049.563759999,2883228.762352,952203.315,345114.1199299999,4277889.538619999,1001572.00219,1893542.06218,2358093.34478
